"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AdminaStar Federal, Inc.","Anthem","$6,000,000","$0","$6,000,000","2005","20050920","government-contracting-related offenses","False Claims Act and related","","AdminaStar Federal, Inc. agreed to pay the United States $6 million to resolve allegations that the company interfered with Medicare evaluations and overcharged the federal healthcare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2005/September/05_civ_492.html",""
"Blue Cross of California (Anthem Blue Cross)","Anthem","$650,000","$0","$650,000","2016","20161110","consumer-protection-related offenses","insurance violation","","grievance system violations","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/November10,2016.aspx",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$30,000","$0","$30,000","2016","20161130","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2016","20161130","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2016","20161130","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$50,000","$0","$50,000","2016","20161214","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2016","20161229","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2017","20170109","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$500,000","$0","$500,000","2017","20170223","consumer-protection-related offenses","insurance violation","","Failure to refer enrollees to contracted providers in neighboring service areas to ensure timely access, where the plan is operating in a service area having a shortage of providers. Failure to arrange for specialty services from specialists outside the plan's contracted network if unavailable within the network.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/docs/2832/1488386090589.pdf",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$50,000","$0","$50,000","2017","20170228","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2017","20170414","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$65,000","$0","$65,000","2017","20170428","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2017","20170503","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2017","20170523","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2017","20170622","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2017","20170720","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$10,000","$0","$10,000","2017","20170720","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$25,000","$0","$25,000","2017","20170720","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2017","20170727","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2017","20170803","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2017","20170821","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California dba Anthem Blue Cross","Anthem","$7,500","$0","$7,500","2017","20171013","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Cross+of+California",""
"Blue Cross of California (Anthem Blue Cross)","Anthem","$5,000,000","$0","$5,000,000","2017","20171115","consumer-protection-related offenses","insurance violation","","grievance system violations","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","http://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/November15,2017.aspx",""
